User name,Password,Access key ID,Secret access key,Console login link
test-user-0,'Qp+*'!ruZ89pyD,,,https://123456789012.signin.aws.amazon.com/console
test-user-1,o*P2PX)79&kHsF0,,,https://123456789012.signin.aws.amazon.com/console
test-user-2,KGX!0cpQdCr{K#I,,,https://123456789012.signin.aws.amazon.com/console
test-user-3,7jEN3G[8Ts]e[{8,,,https://123456789012.signin.aws.amazon.com/console
test-user-4,CPJZj|j(cP951A6,,,https://123456789012.signin.aws.amazon.com/console
test-user-5,*=AAFegePCfrl12,,,https://123456789012.signin.aws.amazon.com/console
test-user-6,MhPZx&GFqG7]b8v,,,https://123456789012.signin.aws.amazon.com/console
test-user-7,X]pks}tZpj41sfJ,,,https://123456789012.signin.aws.amazon.com/console
test-user-8,4jh3ew2-{w%(%2c,,,https://123456789012.signin.aws.amazon.com/console
test-user-9,!4c)qvesGQnLXs|,,,https://123456789012.signin.aws.amazon.com/console
